Date,CPI - monthly data (annual rate of change),Federal Funds,Discount Window,Bank Prime Loan
1990-01-01,5.202,7.97,0.0,10.5
1990-01-02,5.202,8.54,0.0,10.5
1990-01-03,5.202,8.37,0.0,10.5
1990-01-04,5.202,8.29,0.0,10.5
1990-01-05,5.202,8.2,0.0,10.5
1990-01-06,5.202,8.2,0.0,10.5
1990-01-07,5.202,8.2,0.0,10.5
1990-01-08,5.202,8.27,0.0,10.0
1990-01-09,5.202,8.25,0.0,10.0
1990-01-10,5.202,8.12,0.0,10.0
1990-01-11,5.202,8.21,0.0,10.0
1990-01-12,5.202,8.16,0.0,10.0
1990-01-13,5.202,8.16,0.0,10.0
1990-01-14,5.202,8.16,0.0,10.0
1990-01-15,5.202,8.16,0.0,10.0
1990-01-16,5.202,8.31,0.0,10.0
1990-01-17,5.202,8.26,0.0,10.0
1990-01-18,5.202,8.23,0.0,10.0
1990-01-19,5.202,8.19,0.0,10.0
1990-01-20,5.202,8.19,0.0,10.0
1990-01-21,5.202,8.19,0.0,10.0
1990-01-22,5.202,8.19,0.0,10.0
1990-01-23,5.202,8.19,0.0,10.0
1990-01-24,5.202,8.4,0.0,10.0
1990-01-25,5.202,8.24,0.0,10.0
1990-01-26,5.202,8.24,0.0,10.0
1990-01-27,5.202,8.24,0.0,10.0
1990-01-28,5.202,8.24,0.0,10.0
1990-01-29,5.202,8.24,0.0,10.0
1990-01-30,5.202,8.23,0.0,10.0
1990-01-31,5.202,8.26,0.0,10.0
1990-02-01,5.263,8.25,0.0,10.0
1990-02-02,5.263,8.23,0.0,10.0
1990-02-03,5.263,8.23,0.0,10.0
1990-02-04,5.263,8.23,0.0,10.0
1990-02-05,5.263,8.22,0.0,10.0
1990-02-06,5.263,8.19,0.0,10.0
1990-02-07,5.263,8.22,0.0,10.0
1990-02-08,5.263,8.21,0.0,10.0
1990-02-09,5.263,8.21,0.0,10.0
1990-02-10,5.263,8.21,0.0,10.0
1990-02-11,5.263,8.21,0.0,10.0
1990-02-12,5.263,8.21,0.0,10.0
1990-02-13,5.263,8.21,0.0,10.0
1990-02-14,5.263,8.21,0.0,10.0
1990-02-15,5.263,8.32,0.0,10.0
1990-02-16,5.263,8.19,0.0,10.0
1990-02-17,5.263,8.19,0.0,10.0
1990-02-18,5.263,8.19,0.0,10.0
1990-02-19,5.263,8.19,0.0,10.0
1990-02-20,5.263,8.24,0.0,10.0
1990-02-21,5.263,8.41,0.0,10.0
1990-02-22,5.263,8.28,0.0,10.0
1990-02-23,5.263,8.25,0.0,10.0
1990-02-24,5.263,8.25,0.0,10.0
1990-02-25,5.263,8.25,0.0,10.0
1990-02-26,5.263,8.28,0.0,10.0
1990-02-27,5.263,8.27,0.0,10.0
1990-02-28,5.263,8.29,0.0,10.0
1990-03-01,5.233,8.3,0.0,10.0
1990-03-02,5.233,8.27,0.0,10.0
1990-03-03,5.233,8.27,0.0,10.0
1990-03-04,5.233,8.27,0.0,10.0
1990-03-05,5.233,8.24,0.0,10.0
1990-03-06,5.233,8.21,0.0,10.0
1990-03-07,5.233,8.4,0.0,10.0
1990-03-08,5.233,8.3,0.0,10.0
1990-03-09,5.233,8.29,0.0,10.0
1990-03-10,5.233,8.29,0.0,10.0
1990-03-11,5.233,8.29,0.0,10.0
1990-03-12,5.233,8.28,0.0,10.0
1990-03-13,5.233,8.23,0.0,10.0
1990-03-14,5.233,8.21,0.0,10.0
1990-03-15,5.233,8.29,0.0,10.0
1990-03-16,5.233,8.22,0.0,10.0
1990-03-17,5.233,8.22,0.0,10.0
1990-03-18,5.233,8.22,0.0,10.0
1990-03-19,5.233,8.24,0.0,10.0
1990-03-20,5.233,8.26,0.0,10.0
1990-03-21,5.233,8.47,0.0,10.0
1990-03-22,5.233,8.28,0.0,10.0
1990-03-23,5.233,8.25,0.0,10.0
1990-03-24,5.233,8.25,0.0,10.0
1990-03-25,5.233,8.25,0.0,10.0
1990-03-26,5.233,8.25,0.0,10.0
1990-03-27,5.233,8.26,0.0,10.0
1990-03-28,5.233,8.3,0.0,10.0
1990-03-29,5.233,8.37,0.0,10.0
1990-03-30,5.233,8.3,0.0,10.0
1990-03-31,5.233,8.3,0.0,10.0
1990-04-01,4.712,8.3,0.0,10.0
1990-04-02,4.712,8.34,0.0,10.0
1990-04-03,4.712,8.31,0.0,10.0
1990-04-04,4.712,8.37,0.0,10.0
1990-04-05,4.712,8.31,0.0,10.0
1990-04-06,4.712,8.26,0.0,10.0
1990-04-07,4.712,8.26,0.0,10.0
1990-04-08,4.712,8.26,0.0,10.0
1990-04-09,4.712,8.24,0.0,10.0
1990-04-10,4.712,8.21,0.0,10.0
1990-04-11,4.712,8.2,0.0,10.0
1990-04-12,4.712,8.21,0.0,10.0
1990-04-13,4.712,8.18,0.0,10.0
1990-04-14,4.712,8.18,0.0,10.0
1990-04-15,4.712,8.18,0.0,10.0
1990-04-16,4.712,8.31,0.0,10.0
1990-04-17,4.712,8.39,0.0,10.0
1990-04-18,4.712,8.46,0.0,10.0
1990-04-19,4.712,8.31,0.0,10.0
1990-04-20,4.712,8.24,0.0,10.0
1990-04-21,4.712,8.24,0.0,10.0
1990-04-22,4.712,8.24,0.0,10.0
1990-04-23,4.712,8.25,0.0,10.0
1990-04-24,4.712,8.21,0.0,10.0
1990-04-25,4.712,8.21,0.0,10.0
1990-04-26,4.712,8.21,0.0,10.0
1990-04-27,4.712,8.18,0.0,10.0
1990-04-28,4.712,8.18,0.0,10.0
1990-04-29,4.712,8.18,0.0,10.0
1990-04-30,4.712,8.23,0.0,10.0
1990-05-01,4.362,8.11,0.0,10.0
1990-05-02,4.362,7.73,0.0,10.0
1990-05-03,4.362,8.19,0.0,10.0
1990-05-04,4.362,8.21,0.0,10.0
1990-05-05,4.362,8.21,0.0,10.0
1990-05-06,4.362,8.21,0.0,10.0
1990-05-07,4.362,8.23,0.0,10.0
1990-05-08,4.362,8.2,0.0,10.0
1990-05-09,4.362,8.18,0.0,10.0
1990-05-10,4.362,8.23,0.0,10.0
1990-05-11,4.362,8.24,0.0,10.0
1990-05-12,4.362,8.24,0.0,10.0
1990-05-13,4.362,8.24,0.0,10.0
1990-05-14,4.362,8.27,0.0,10.0
1990-05-15,4.362,8.34,0.0,10.0
1990-05-16,4.362,7.53,0.0,10.0
1990-05-17,4.362,8.2,0.0,10.0
1990-05-18,4.362,8.22,0.0,10.0
1990-05-19,4.362,8.22,0.0,10.0
1990-05-20,4.362,8.22,0.0,10.0
1990-05-21,4.362,8.24,0.0,10.0
1990-05-22,4.362,8.22,0.0,10.0
1990-05-23,4.362,8.24,0.0,10.0
1990-05-24,4.362,8.29,0.0,10.0
1990-05-25,4.362,8.27,0.0,10.0
1990-05-26,4.362,8.27,0.0,10.0
1990-05-27,4.362,8.27,0.0,10.0
1990-05-28,4.362,8.27,0.0,10.0
1990-05-29,4.362,8.26,0.0,10.0
1990-05-30,4.362,7.69,0.0,10.0
1990-05-31,4.362,8.23,0.0,10.0
1990-06-01,4.674,8.28,0.0,10.0
1990-06-02,4.674,8.28,0.0,10.0
1990-06-03,4.674,8.28,0.0,10.0
1990-06-04,4.674,8.28,0.0,10.0
1990-06-05,4.674,8.27,0.0,10.0
1990-06-06,4.674,8.22,0.0,10.0
1990-06-07,4.674,8.25,0.0,10.0
1990-06-08,4.674,8.26,0.0,10.0
1990-06-09,4.674,8.26,0.0,10.0
1990-06-10,4.674,8.26,0.0,10.0
1990-06-11,4.674,8.26,0.0,10.0
1990-06-12,4.674,8.23,0.0,10.0
1990-06-13,4.674,8.61,0.0,10.0
1990-06-14,4.674,8.29,0.0,10.0
1990-06-15,4.674,8.29,0.0,10.0
1990-06-16,4.674,8.29,0.0,10.0
1990-06-17,4.674,8.29,0.0,10.0
1990-06-18,4.674,8.28,0.0,10.0
1990-06-19,4.674,8.25,0.0,10.0
1990-06-20,4.674,8.24,0.0,10.0
1990-06-21,4.674,8.25,0.0,10.0
1990-06-22,4.674,8.24,0.0,10.0
1990-06-23,4.674,8.24,0.0,10.0
1990-06-24,4.674,8.24,0.0,10.0
1990-06-25,4.674,8.3,0.0,10.0
1990-06-26,4.674,8.33,0.0,10.0
1990-06-27,4.674,8.39,0.0,10.0
1990-06-28,4.674,8.36,0.0,10.0
1990-06-29,4.674,8.32,0.0,10.0
1990-06-30,4.674,8.32,0.0,10.0
1990-07-01,4.823,8.32,0.0,10.0
1990-07-02,4.823,8.35,0.0,10.0
1990-07-03,4.823,8.32,0.0,10.0
1990-07-04,4.823,8.32,0.0,10.0
1990-07-05,4.823,8.32,0.0,10.0
1990-07-06,4.823,8.32,0.0,10.0
1990-07-07,4.823,8.32,0.0,10.0
1990-07-08,4.823,8.32,0.0,10.0
1990-07-09,4.823,8.33,0.0,10.0
1990-07-10,4.823,8.34,0.0,10.0
1990-07-11,4.823,8.01,0.0,10.0
1990-07-12,4.823,8.29,0.0,10.0
1990-07-13,4.823,8.18,0.0,10.0
1990-07-14,4.823,8.18,0.0,10.0
1990-07-15,4.823,8.18,0.0,10.0
1990-07-16,4.823,8.07,0.0,10.0
1990-07-17,4.823,8.05,0.0,10.0
1990-07-18,4.823,8.02,0.0,10.0
1990-07-19,4.823,8.04,0.0,10.0
1990-07-20,4.823,7.99,0.0,10.0
1990-07-21,4.823,7.99,0.0,10.0
1990-07-22,4.823,7.99,0.0,10.0
1990-07-23,4.823,8.02,0.0,10.0
1990-07-24,4.823,8.02,0.0,10.0
1990-07-25,4.823,8.28,0.0,10.0
1990-07-26,4.823,8.05,0.0,10.0
1990-07-27,4.823,8.01,0.0,10.0
1990-07-28,4.823,8.01,0.0,10.0
1990-07-29,4.823,8.01,0.0,10.0
1990-07-30,4.823,8.03,0.0,10.0
1990-07-31,4.823,8.05,0.0,10.0
1990-08-01,5.618,8.07,0.0,10.0
1990-08-02,5.618,8.09,0.0,10.0
1990-08-03,5.618,8.03,0.0,10.0
1990-08-04,5.618,8.03,0.0,10.0
1990-08-05,5.618,8.03,0.0,10.0
1990-08-06,5.618,8.04,0.0,10.0
1990-08-07,5.618,8.05,0.0,10.0
1990-08-08,5.618,8.19,0.0,10.0
1990-08-09,5.618,8.1,0.0,10.0
1990-08-10,5.618,8.05,0.0,10.0
1990-08-11,5.618,8.05,0.0,10.0
1990-08-12,5.618,8.05,0.0,10.0
1990-08-13,5.618,8.23,0.0,10.0
1990-08-14,5.618,8.14,0.0,10.0
1990-08-15,5.618,8.28,0.0,10.0
1990-08-16,5.618,8.44,0.0,10.0
1990-08-17,5.618,8.2,0.0,10.0
1990-08-18,5.618,8.2,0.0,10.0
1990-08-19,5.618,8.2,0.0,10.0
1990-08-20,5.618,8.08,0.0,10.0
1990-08-21,5.618,8.0,0.0,10.0
1990-08-22,5.618,8.96,0.0,10.0
1990-08-23,5.618,8.13,0.0,10.0
1990-08-24,5.618,8.07,0.0,10.0
1990-08-25,5.618,8.07,0.0,10.0
1990-08-26,5.618,8.07,0.0,10.0
1990-08-27,5.618,8.08,0.0,10.0
1990-08-28,5.618,8.07,0.0,10.0
1990-08-29,5.618,8.04,0.0,10.0
1990-08-30,5.618,8.06,0.0,10.0
1990-08-31,5.618,8.06,0.0,10.0
1990-09-01,6.16,8.06,0.0,10.0
1990-09-02,6.16,8.06,0.0,10.0
1990-09-03,6.16,8.06,0.0,10.0
1990-09-04,6.16,8.17,0.0,10.0
1990-09-05,6.16,9.31,0.0,10.0
1990-09-06,6.16,8.2,0.0,10.0
1990-09-07,6.16,8.13,0.0,10.0
1990-09-08,6.16,8.13,0.0,10.0
1990-09-09,6.16,8.13,0.0,10.0
1990-09-10,6.16,8.13,0.0,10.0
1990-09-11,6.16,8.08,0.0,10.0
1990-09-12,6.16,8.03,0.0,10.0
1990-09-13,6.16,8.03,0.0,10.0
1990-09-14,6.16,7.93,0.0,10.0
1990-09-15,6.16,7.93,0.0,10.0
1990-09-16,6.16,7.93,0.0,10.0
1990-09-17,6.16,8.04,0.0,10.0
1990-09-18,6.16,7.87,0.0,10.0
1990-09-19,6.16,9.53,0.0,10.0
1990-09-20,6.16,8.17,0.0,10.0
1990-09-21,6.16,8.22,0.0,10.0
1990-09-22,6.16,8.22,0.0,10.0
1990-09-23,6.16,8.22,0.0,10.0
1990-09-24,6.16,8.33,0.0,10.0
1990-09-25,6.16,8.35,0.0,10.0
1990-09-26,6.16,8.29,0.0,10.0
1990-09-27,6.16,8.21,0.0,10.0
1990-09-28,6.16,8.03,0.0,10.0
1990-09-29,6.16,8.03,0.0,10.0
1990-09-30,6.16,8.03,0.0,10.0
1990-10-01,6.29,8.25,0.0,10.0
1990-10-02,6.29,8.32,0.0,10.0
1990-10-03,6.29,8.71,0.0,10.0
1990-10-04,6.29,8.31,0.0,10.0
1990-10-05,6.29,8.19,0.0,10.0
1990-10-06,6.29,8.19,0.0,10.0
1990-10-07,6.29,8.19,0.0,10.0
1990-10-08,6.29,8.19,0.0,10.0
1990-10-09,6.29,8.21,0.0,10.0
1990-10-10,6.29,8.11,0.0,10.0
1990-10-11,6.29,8.02,0.0,10.0
1990-10-12,6.29,7.98,0.0,10.0
1990-10-13,6.29,7.98,0.0,10.0
1990-10-14,6.29,7.98,0.0,10.0
1990-10-15,6.29,8.07,0.0,10.0
1990-10-16,6.29,8.01,0.0,10.0
1990-10-17,6.29,7.69,0.0,10.0
1990-10-18,6.29,8.04,0.0,10.0
1990-10-19,6.29,8.01,0.0,10.0
1990-10-20,6.29,8.01,0.0,10.0
1990-10-21,6.29,8.01,0.0,10.0
1990-10-22,6.29,7.99,0.0,10.0
1990-10-23,6.29,7.93,0.0,10.0
1990-10-24,6.29,7.94,0.0,10.0
1990-10-25,6.29,8.02,0.0,10.0
1990-10-26,6.29,7.97,0.0,10.0
1990-10-27,6.29,7.97,0.0,10.0
1990-10-28,6.29,7.97,0.0,10.0
1990-10-29,6.29,7.87,0.0,10.0
1990-10-30,6.29,7.84,0.0,10.0
1990-10-31,6.29,9.52,0.0,10.0
1990-11-01,6.275,8.06,0.0,10.0
1990-11-02,6.275,8.02,0.0,10.0
1990-11-03,6.275,8.02,0.0,10.0
1990-11-04,6.275,8.02,0.0,10.0
1990-11-05,6.275,7.96,0.0,10.0
1990-11-06,6.275,7.89,0.0,10.0
1990-11-07,6.275,7.8,0.0,10.0
1990-11-08,6.275,7.77,0.0,10.0
1990-11-09,6.275,7.73,0.0,10.0
1990-11-10,6.275,7.73,0.0,10.0
1990-11-11,6.275,7.73,0.0,10.0
1990-11-12,6.275,7.73,0.0,10.0
1990-11-13,6.275,8.0,0.0,10.0
1990-11-14,6.275,8.92,0.0,10.0
1990-11-15,6.275,8.12,0.0,10.0
1990-11-16,6.275,7.85,0.0,10.0
1990-11-17,6.275,7.85,0.0,10.0
1990-11-18,6.275,7.85,0.0,10.0
1990-11-19,6.275,7.72,0.0,10.0
1990-11-20,6.275,7.65,0.0,10.0
1990-11-21,6.275,7.59,0.0,10.0
1990-11-22,6.275,7.59,0.0,10.0
1990-11-23,6.275,7.56,0.0,10.0
1990-11-24,6.275,7.56,0.0,10.0
1990-11-25,6.275,7.56,0.0,10.0
1990-11-26,6.275,7.65,0.0,10.0
1990-11-27,6.275,7.62,0.0,10.0
1990-11-28,6.275,7.39,0.0,10.0
1990-11-29,6.275,7.65,0.0,10.0
1990-11-30,6.275,7.61,0.0,10.0
1990-12-01,6.106,7.61,0.0,10.0
1990-12-02,6.106,7.61,0.0,10.0
1990-12-03,6.106,7.65,0.0,10.0
1990-12-04,6.106,7.58,0.0,10.0
1990-12-05,6.106,7.47,0.0,10.0
1990-12-06,6.106,7.44,0.0,10.0
1990-12-07,6.106,7.25,0.0,10.0
1990-12-08,6.106,7.25,0.0,10.0
1990-12-09,6.106,7.25,0.0,10.0
1990-12-10,6.106,7.18,0.0,10.0
1990-12-11,6.106,7.05,0.0,10.0
1990-12-12,6.106,7.36,0.0,10.0
1990-12-13,6.106,7.25,0.0,10.0
1990-12-14,6.106,7.29,0.0,10.0
1990-12-15,6.106,7.29,0.0,10.0
1990-12-16,6.106,7.29,0.0,10.0
1990-12-17,6.106,7.44,0.0,10.0
1990-12-18,6.106,7.37,0.0,10.0
1990-12-19,6.106,7.13,0.0,10.0
1990-12-20,6.106,7.2,0.0,10.0
1990-12-21,6.106,7.06,0.0,10.0
1990-12-22,6.106,7.06,0.0,10.0
1990-12-23,6.106,7.06,0.0,10.0
1990-12-24,6.106,6.45,0.0,10.0
1990-12-25,6.106,6.45,0.0,10.0
1990-12-26,6.106,8.86,0.0,10.0
1990-12-27,6.106,8.65,0.0,10.0
1990-12-28,6.106,7.54,0.0,10.0
1990-12-29,6.106,7.54,0.0,10.0
1990-12-30,6.106,7.54,0.0,10.0
1990-12-31,6.106,5.53,0.0,10.0
1991-01-01,5.651,5.53,0.0,10.0
1991-01-02,5.651,7.85,0.0,9.5
1991-01-03,5.651,7.18,0.0,9.5
1991-01-04,5.651,6.52,0.0,9.5
1991-01-05,5.651,6.52,0.0,9.5
1991-01-06,5.651,6.52,0.0,9.5
1991-01-07,5.651,6.26,0.0,9.5
1991-01-08,5.651,5.94,0.0,9.5
1991-01-09,5.651,5.88,0.0,9.5
1991-01-10,5.651,6.81,0.0,9.5
1991-01-11,5.651,6.68,0.0,9.5
1991-01-12,5.651,6.68,0.0,9.5
1991-01-13,5.651,6.68,0.0,9.5
1991-01-14,5.651,6.83,0.0,9.5
1991-01-15,5.651,6.89,0.0,9.5
1991-01-16,5.651,6.81,0.0,9.5
1991-01-17,5.651,6.6,0.0,9.5
1991-01-18,5.651,5.9,0.0,9.5
1991-01-19,5.651,5.9,0.0,9.5
1991-01-20,5.651,5.9,0.0,9.5
1991-01-21,5.651,5.9,0.0,9.5
1991-01-22,5.651,7.56,0.0,9.5
1991-01-23,5.651,10.39,0.0,9.5
1991-01-24,5.651,7.69,0.0,9.5
1991-01-25,5.651,7.59,0.0,9.5
1991-01-26,5.651,7.59,0.0,9.5
1991-01-27,5.651,7.59,0.0,9.5
1991-01-28,5.651,7.61,0.0,9.5
1991-01-29,5.651,7.16,0.0,9.5
1991-01-30,5.651,6.96,0.0,9.5
1991-01-31,5.651,8.18,0.0,9.5
1991-02-01,5.312,6.3,0.0,9.5
1991-02-02,5.312,6.3,0.0,9.5
1991-02-03,5.312,6.3,0.0,9.5
1991-02-04,5.312,6.1,0.0,9.0
1991-02-05,5.312,5.49,0.0,9.0
1991-02-06,5.312,5.57,0.0,9.0
1991-02-07,5.312,6.38,0.0,9.0
1991-02-08,5.312,6.27,0.0,9.0
1991-02-09,5.312,6.27,0.0,9.0
1991-02-10,5.312,6.27,0.0,9.0
1991-02-11,5.312,6.37,0.0,9.0
1991-02-12,5.312,6.26,0.0,9.0
1991-02-13,5.312,6.24,0.0,9.0
1991-02-14,5.312,6.37,0.0,9.0
1991-02-15,5.312,6.02,0.0,9.0
1991-02-16,5.312,6.02,0.0,9.0
1991-02-17,5.312,6.02,0.0,9.0
1991-02-18,5.312,6.02,0.0,9.0
1991-02-19,5.312,6.24,0.0,9.0
1991-02-20,5.312,7.11,0.0,9.0
1991-02-21,5.312,6.54,0.0,9.0
1991-02-22,5.312,6.27,0.0,9.0
1991-02-23,5.312,6.27,0.0,9.0
1991-02-24,5.312,6.27,0.0,9.0
1991-02-25,5.312,6.43,0.0,9.0
1991-02-26,5.312,6.12,0.0,9.0
1991-02-27,5.312,6.26,0.0,9.0
1991-02-28,5.312,6.99,0.0,9.0
1991-03-01,4.895,6.35,0.0,9.0
1991-03-02,4.895,6.35,0.0,9.0
1991-03-03,4.895,6.35,0.0,9.0
1991-03-04,4.895,6.36,0.0,9.0
1991-03-05,4.895,6.31,0.0,9.0
1991-03-06,4.895,6.55,0.0,9.0
1991-03-07,4.895,6.46,0.0,9.0
1991-03-08,4.895,6.2,0.0,9.0
1991-03-09,4.895,6.2,0.0,9.0
1991-03-10,4.895,6.2,0.0,9.0
1991-03-11,4.895,6.1,0.0,9.0
1991-03-12,4.895,6.03,0.0,9.0
1991-03-13,4.895,5.98,0.0,9.0
1991-03-14,4.895,5.93,0.0,9.0
1991-03-15,4.895,5.96,0.0,9.0
1991-03-16,4.895,5.96,0.0,9.0
1991-03-17,4.895,5.96,0.0,9.0
1991-03-18,4.895,6.03,0.0,9.0
1991-03-19,4.895,6.16,0.0,9.0
1991-03-20,4.895,6.67,0.0,9.0
1991-03-21,4.895,6.22,0.0,9.0
1991-03-22,4.895,6.05,0.0,9.0
1991-03-23,4.895,6.05,0.0,9.0
1991-03-24,4.895,6.05,0.0,9.0
1991-03-25,4.895,6.08,0.0,9.0
1991-03-26,4.895,6.17,0.0,9.0
1991-03-27,4.895,6.11,0.0,9.0
1991-03-28,4.895,6.14,0.0,9.0
1991-03-29,4.895,5.53,0.0,9.0
1991-03-30,4.895,5.53,0.0,9.0
1991-03-31,4.895,5.53,0.0,9.0
1991-04-01,4.888,6.48,0.0,9.0
1991-04-02,4.888,6.46,0.0,9.0
1991-04-03,4.888,6.36,0.0,9.0
1991-04-04,4.888,6.22,0.0,9.0
1991-04-05,4.888,5.92,0.0,9.0
1991-04-06,4.888,5.92,0.0,9.0
1991-04-07,4.888,5.92,0.0,9.0
1991-04-08,4.888,5.89,0.0,9.0
1991-04-09,4.888,5.66,0.0,9.0
1991-04-10,4.888,5.75,0.0,9.0
1991-04-11,4.888,5.71,0.0,9.0
1991-04-12,4.888,5.36,0.0,9.0
1991-04-13,4.888,5.36,0.0,9.0
1991-04-14,4.888,5.36,0.0,9.0
1991-04-15,4.888,6.04,0.0,9.0
1991-04-16,4.888,6.05,0.0,9.0
1991-04-17,4.888,5.95,0.0,9.0
1991-04-18,4.888,6.0,0.0,9.0
1991-04-19,4.888,5.89,0.0,9.0
1991-04-20,4.888,5.89,0.0,9.0
1991-04-21,4.888,5.89,0.0,9.0
1991-04-22,4.888,5.95,0.0,9.0
1991-04-23,4.888,5.92,0.0,9.0
1991-04-24,4.888,5.89,0.0,9.0
1991-04-25,4.888,5.95,0.0,9.0
1991-04-26,4.888,5.89,0.0,9.0
1991-04-27,4.888,5.89,0.0,9.0
1991-04-28,4.888,5.89,0.0,9.0
1991-04-29,4.888,5.93,0.0,9.0
1991-04-30,4.888,5.98,0.0,9.0
1991-05-01,4.954,5.9,0.0,8.5
1991-05-02,4.954,5.86,0.0,8.5
1991-05-03,4.954,5.76,0.0,8.5
1991-05-04,4.954,5.76,0.0,8.5
1991-05-05,4.954,5.76,0.0,8.5
1991-05-06,4.954,5.82,0.0,8.5
1991-05-07,4.954,5.79,0.0,8.5
1991-05-08,4.954,5.75,0.0,8.5
1991-05-09,4.954,5.76,0.0,8.5
1991-05-10,4.954,5.69,0.0,8.5
1991-05-11,4.954,5.69,0.0,8.5
1991-05-12,4.954,5.69,0.0,8.5
1991-05-13,4.954,5.8,0.0,8.5
1991-05-14,4.954,5.85,0.0,8.5
1991-05-15,4.954,6.01,0.0,8.5
1991-05-16,4.954,5.89,0.0,8.5
1991-05-17,4.954,5.79,0.0,8.5
1991-05-18,4.954,5.79,0.0,8.5
1991-05-19,4.954,5.79,0.0,8.5
1991-05-20,4.954,5.82,0.0,8.5
1991-05-21,4.954,5.76,0.0,8.5
1991-05-22,4.954,5.71,0.0,8.5
1991-05-23,4.954,5.69,0.0,8.5
1991-05-24,4.954,5.65,0.0,8.5
1991-05-25,4.954,5.65,0.0,8.5
1991-05-26,4.954,5.65,0.0,8.5
1991-05-27,4.954,5.65,0.0,8.5
1991-05-28,4.954,5.99,0.0,8.5
1991-05-29,4.954,5.79,0.0,8.5
1991-05-30,4.954,5.84,0.0,8.5
1991-05-31,4.954,5.92,0.0,8.5
1991-06-01,4.696,5.92,0.0,8.5
1991-06-02,4.696,5.92,0.0,8.5
1991-06-03,4.696,5.96,0.0,8.5
1991-06-04,4.696,5.96,0.0,8.5
1991-06-05,4.696,5.88,0.0,8.5
1991-06-06,4.696,5.82,0.0,8.5
1991-06-07,4.696,5.71,0.0,8.5
1991-06-08,4.696,5.71,0.0,8.5
1991-06-09,4.696,5.71,0.0,8.5
1991-06-10,4.696,5.83,0.0,8.5
1991-06-11,4.696,5.79,0.0,8.5
1991-06-12,4.696,5.67,0.0,8.5
1991-06-13,4.696,5.79,0.0,8.5
1991-06-14,4.696,5.71,0.0,8.5
1991-06-15,4.696,5.71,0.0,8.5
1991-06-16,4.696,5.71,0.0,8.5
1991-06-17,4.696,5.94,0.0,8.5
1991-06-18,4.696,5.82,0.0,8.5
1991-06-19,4.696,5.8,0.0,8.5
1991-06-20,4.696,5.79,0.0,8.5
1991-06-21,4.696,5.75,0.0,8.5
1991-06-22,4.696,5.75,0.0,8.5
1991-06-23,4.696,5.75,0.0,8.5
1991-06-24,4.696,5.83,0.0,8.5
1991-06-25,4.696,5.9,0.0,8.5
1991-06-26,4.696,5.73,0.0,8.5
1991-06-27,4.696,5.91,0.0,8.5
1991-06-28,4.696,6.74,0.0,8.5
1991-06-29,4.696,6.74,0.0,8.5
1991-06-30,4.696,6.74,0.0,8.5
1991-07-01,4.448,6.38,0.0,8.5
1991-07-02,4.448,6.09,0.0,8.5
1991-07-03,4.448,5.77,0.0,8.5
1991-07-04,4.448,5.77,0.0,8.5
1991-07-05,4.448,5.76,0.0,8.5
1991-07-06,4.448,5.76,0.0,8.5
1991-07-07,4.448,5.76,0.0,8.5
1991-07-08,4.448,5.91,0.0,8.5
1991-07-09,4.448,5.82,0.0,8.5
1991-07-10,4.448,5.72,0.0,8.5
1991-07-11,4.448,5.86,0.0,8.5
1991-07-12,4.448,5.8,0.0,8.5
1991-07-13,4.448,5.8,0.0,8.5
1991-07-14,4.448,5.8,0.0,8.5
1991-07-15,4.448,5.96,0.0,8.5
1991-07-16,4.448,5.91,0.0,8.5
1991-07-17,4.448,5.82,0.0,8.5
1991-07-18,4.448,5.83,0.0,8.5
1991-07-19,4.448,5.75,0.0,8.5
1991-07-20,4.448,5.75,0.0,8.5
1991-07-21,4.448,5.75,0.0,8.5
1991-07-22,4.448,5.81,0.0,8.5
1991-07-23,4.448,5.74,0.0,8.5
1991-07-24,4.448,5.63,0.0,8.5
1991-07-25,4.448,5.82,0.0,8.5
1991-07-26,4.448,5.76,0.0,8.5
1991-07-27,4.448,5.76,0.0,8.5
1991-07-28,4.448,5.76,0.0,8.5
1991-07-29,4.448,5.8,0.0,8.5
1991-07-30,4.448,5.75,0.0,8.5
1991-07-31,4.448,5.85,0.0,8.5
1991-08-01,3.799,5.86,0.0,8.5
1991-08-02,3.799,5.72,0.0,8.5
1991-08-03,3.799,5.72,0.0,8.5
1991-08-04,3.799,5.72,0.0,8.5
1991-08-05,3.799,5.79,0.0,8.5
1991-08-06,3.799,5.7,0.0,8.5
1991-08-07,3.799,6.29,0.0,8.5
1991-08-08,3.799,5.71,0.0,8.5
1991-08-09,3.799,5.59,0.0,8.5
1991-08-10,3.799,5.59,0.0,8.5
1991-08-11,3.799,5.59,0.0,8.5
1991-08-12,3.799,5.66,0.0,8.5
1991-08-13,3.799,5.64,0.0,8.5
1991-08-14,3.799,5.58,0.0,8.5
1991-08-15,3.799,5.77,0.0,8.5
1991-08-16,3.799,5.55,0.0,8.5
1991-08-17,3.799,5.55,0.0,8.5
1991-08-18,3.799,5.55,0.0,8.5
1991-08-19,3.799,5.54,0.0,8.5
1991-08-20,3.799,5.57,0.0,8.5
1991-08-21,3.799,6.24,0.0,8.5
1991-08-22,3.799,5.69,0.0,8.5
1991-08-23,3.799,5.55,0.0,8.5
1991-08-24,3.799,5.55,0.0,8.5
1991-08-25,3.799,5.55,0.0,8.5
1991-08-26,3.799,5.63,0.0,8.5
1991-08-27,3.799,5.59,0.0,8.5
1991-08-28,3.799,5.52,0.0,8.5
1991-08-29,3.799,5.49,0.0,8.5
